Age,Gender ,"How many hours per day do you study on average?  (Include self-study, assignments, and revision. Enter a decimal if needed, e.g., 2.5)",What is your approximate class attendance percentage this semester? ,What is your CGPA? * ,What was your last semester's SGPA? (Enter your most recent semester GPA),"How many hours per day do you spend on social media? (Include Instagram, TikTok, Twitter/X, YouTube Shorts, etc.)",How many hours of sleep do you get per night on average? ,How would you describe your diet quality? ,"How many days per week do you exercise or do physical activity?  (Include gym, sports, walking, cricket, football, etc.)","Which societies or clubs are you a member of at GIKI? (Write N/A if none. Examples: GIKI ACM, IEEE, GIKI Literary Society, Sports Board, GIKI Debate Club)"
20,Prefer not to say,0.7,61,2.86,2.82,0.7,7.4,Average (Mix of healthy and unhealthy),1-2 days,IEEE
20,Female,0.9,85,2.49,2.41,1.9,6.0,Very Poor (Highly reliant on junk food and caffeine),1-2 days,AIAA
21,Male,1.5,71,2.73,2.8,5.2,8.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,"IEEE, ACM"
20,Male,0.5,35,2.19,2.19,8.9,6.4,Very Poor (Highly reliant on junk food and caffeine),1-2 days,IEEE
21,Male,7.9,84,3.21,3.1,0.5,4.7,Average (Mix of healthy and unhealthy),3-4 days,IEEE
20,Male,2.1,75,2.82,2.71,3.8,6.1,Average (Mix of healthy and unhealthy),1-2 days,AIAA
19,Male,3.1,30,2.26,2.2,14.0,7.5,Average (Mix of healthy and unhealthy),1-2 days,IEEE
19,Male,0.5,59,2.94,2.93,4.5,7.4,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
19,Male,3.9,66,3.3,3.39,3.5,6.4,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,IEEE
20,Male,0.5,90,2.8,2.84,9.2,6.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,LES
18,Male,0.7,79,2.73,2.8,3.1,5.7,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,ACM
21,Prefer not to say,0.5,74,2.84,2.78,0.5,7.4,Average (Mix of healthy and unhealthy),3-4 days,AIAA
20,Male,3.7,37,3.03,2.97,2.0,7.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,
21,Male,1.7,98,2.81,2.82,3.6,6.8,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,LES
20,Male,2.7,48,2.56,2.58,7.5,7.5,Average (Mix of healthy and unhealthy),0 days,IEEE
20,Male,0.5,65,2.41,2.3,3.0,3.0,Average (Mix of healthy and unhealthy),3-4 days,
19,Male,0.7,87,2.79,2.87,1.3,8.5,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,IEEE
20,Female,2.2,100,3.41,3.38,0.5,7.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,IEEE
19,Male,0.5,40,2.66,2.68,3.7,4.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,"IEEE, ACM"
18,Male,0.9,67,2.17,2.12,14.0,5.4,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,AIAA
21,Male,9.7,81,3.54,3.56,6.6,5.8,Very Poor (Highly reliant on junk food and caffeine),0 days,LES
20,Male,0.9,51,2.82,2.66,4.9,6.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,
18,Male,1.6,79,3.06,3.03,0.5,7.4,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,
19,Male,8.9,74,3.21,3.21,1.9,6.7,Average (Mix of healthy and unhealthy),1-2 days,ACM
20,Male,2.1,54,2.36,2.34,14.0,5.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,"IEEE, ACM"
18,Female,2.1,59,2.88,2.98,2.0,8.7,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,AIAA
20,Male,3.2,78,3.39,3.41,0.5,7.4,Average (Mix of healthy and unhealthy),1-2 days,LES
20,Female,2.4,35,2.74,2.78,0.5,5.6,Average (Mix of healthy and unhealthy),1-2 days,
20,Male,4.0,47,3.01,3.02,2.5,4.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,"IEEE, ACM"
19,Male,5.2,51,2.9,3.05,0.5,4.8,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,
20,Male,8.9,37,3.34,3.26,1.0,4.9,Average (Mix of healthy and unhealthy),1-2 days,"IEEE, ACM"
19,Male,0.6,78,2.47,2.54,3.0,5.8,"Excellent (Well-balanced, fresh food)",3-4 days,"IEEE, ACM"
19,Female,5.2,44,2.47,2.51,5.8,8.5,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
21,Male,2.6,74,3.24,3.35,0.5,7.4,Average (Mix of healthy and unhealthy),0 days,
21,Male,0.5,36,2.8,2.69,4.0,7.1,Average (Mix of healthy and unhealthy),5-6 days,
19,Female,3.0,30,2.57,2.6,1.5,9.1,"Excellent (Well-balanced, fresh food)",1-2 days,"IEEE, ACM"
21,Male,4.6,67,3.0,3,0.5,6.0,Average (Mix of healthy and unhealthy),1-2 days,AIAA
20,Female,2.7,63,3.25,3.24,0.7,7.5,Average (Mix of healthy and unhealthy),0 days,AIAA
18,Prefer not to say,4.6,63,2.41,2.41,14.0,5.3,Very Poor (Highly reliant on junk food and caffeine),1-2 days,IEEE
18,Male,8.0,54,3.2,3.12,0.8,5.4,Average (Mix of healthy and unhealthy),3-4 days,
19,Male,0.5,59,2.76,2.71,2.8,10.0,Very Poor (Highly reliant on junk food and caffeine),5-6 days,
20,Male,3.6,50,2.44,2.44,0.8,4.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",0 days,
21,Male,4.1,15,2.42,2.39,4.5,6.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,LES
22,Male,5.4,68,2.68,2.71,5.4,4.4,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,
20,Male,1.8,98,2.78,2.79,4.7,5.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,AIAA
20,Male,0.6,65,2.56,2.5,3.5,7.6,Very Poor (Highly reliant on junk food and caffeine),1-2 days,LES
22,Male,0.5,32,2.58,2.69,1.0,7.5,Average (Mix of healthy and unhealthy),1-2 days,
19,Prefer not to say,0.9,100,2.8,2.77,4.8,6.6,Average (Mix of healthy and unhealthy),1-2 days,
22,Male,1.1,28,2.79,2.77,0.5,7.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,AIAA
19,Male,1.2,43,2.68,2.64,5.4,9.2,Very Poor (Highly reliant on junk food and caffeine),0 days,LES
19,Male,0.8,40,2.71,2.78,2.1,7.8,Average (Mix of healthy and unhealthy),1-2 days,AIAA
19,Male,10.0,60,3.51,3.58,0.5,5.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
21,Male,0.5,32,2.04,2,5.5,6.0,Average (Mix of healthy and unhealthy),3-4 days,
19,Male,0.5,60,2.19,2.21,7.5,5.2,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,
20,Male,3.3,50,2.42,2.35,5.0,6.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
21,Male,7.5,53,3.46,3.42,1.1,6.1,Average (Mix of healthy and unhealthy),5-6 days,"IEEE, ACM"
19,Male,5.8,52,3.19,3.16,1.3,8.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
21,Male,1.0,62,2.94,2.98,4.6,8.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,"IEEE, ACM"
19,Male,0.5,47,2.71,2.64,0.6,5.8,Average (Mix of healthy and unhealthy),3-4 days,
19,Male,0.5,84,2.4,2.46,11.3,6.5,Average (Mix of healthy and unhealthy),1-2 days,
21,Male,5.3,60,3.25,3.33,1.9,5.6,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,ACM
20,Male,3.7,82,3.31,3.35,4.9,6.9,"Excellent (Well-balanced, fresh food)",3-4 days,"IEEE, ACM"
18,Female,3.8,91,2.78,2.79,10.3,7.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",7 days,
20,Male,0.9,73,2.63,2.68,4.6,6.9,Average (Mix of healthy and unhealthy),0 days,
21,Male,0.7,69,2.49,2.53,0.9,3.9,"Excellent (Well-balanced, fresh food)",1-2 days,IEEE
20,Male,9.2,100,3.27,3.33,3.6,7.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,
20,Male,1.5,64,2.55,2.65,9.0,5.8,Average (Mix of healthy and unhealthy),5-6 days,
19,Male,5.5,56,2.69,2.75,14.0,6.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",7 days,IEEE
22,Male,1.2,27,2.0,2,9.5,5.2,Average (Mix of healthy and unhealthy),1-2 days,LES
22,Male,1.6,96,2.82,2.96,7.9,8.7,Average (Mix of healthy and unhealthy),1-2 days,
22,Male,0.5,59,2.52,2.58,4.0,4.3,Average (Mix of healthy and unhealthy),1-2 days,AIAA
21,Male,0.6,49,2.95,2.94,0.9,6.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,
21,Male,1.5,82,2.87,2.96,0.7,7.9,Average (Mix of healthy and unhealthy),1-2 days,
19,Male,3.0,15,2.4,2.31,3.7,7.7,Very Poor (Highly reliant on junk food and caffeine),5-6 days,
18,Male,1.0,62,2.76,2.77,0.5,4.2,"Excellent (Well-balanced, fresh food)",3-4 days,
20,Female,5.0,72,3.09,3.19,0.5,6.1,Average (Mix of healthy and unhealthy),1-2 days,"IEEE, ACM"
19,Female,1.4,91,2.91,2.85,3.0,5.0,Average (Mix of healthy and unhealthy),5-6 days,
22,Male,3.0,79,2.96,2.95,0.5,5.7,"Poor (Mostly processed foods, soft drinks, limited vegetables)",0 days,
20,Male,3.6,52,3.08,3.18,1.3,4.3,Average (Mix of healthy and unhealthy),3-4 days,
20,Male,2.9,71,2.48,2.45,13.6,4.5,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,LES
20,Male,4.6,57,2.92,3.08,3.8,6.8,Very Poor (Highly reliant on junk food and caffeine),3-4 days,LES
20,Male,2.9,83,2.61,2.61,0.5,4.6,Very Poor (Highly reliant on junk food and caffeine),0 days,
20,Male,1.9,51,2.2,2.19,14.0,6.7,Average (Mix of healthy and unhealthy),5-6 days,LES
20,Female,7.2,62,2.88,2.82,4.0,4.3,Average (Mix of healthy and unhealthy),0 days,AIAA
19,Male,3.7,37,2.6,2.47,2.0,6.1,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
21,Male,1.4,56,2.84,2.81,0.7,6.8,Average (Mix of healthy and unhealthy),5-6 days,
22,Female,2.5,67,2.36,2.38,10.3,7.6,Very Poor (Highly reliant on junk food and caffeine),1-2 days,AIAA
21,Male,4.3,58,2.6,2.57,12.2,6.3,"Good (Mostly balanced, some fast food/unhealthy snacks)",0 days,
20,Male,6.2,74,3.08,3.12,6.4,5.2,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,
20,Female,4.7,55,2.95,2.88,1.0,6.4,Average (Mix of healthy and unhealthy),5-6 days,"IEEE, ACM"
20,Male,1.0,51,2.71,2.69,4.9,7.7,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,AIAA
19,Male,0.5,51,2.81,2.76,0.5,4.8,Average (Mix of healthy and unhealthy),3-4 days,ACM
21,Prefer not to say,0.8,87,2.56,2.61,14.0,5.6,Average (Mix of healthy and unhealthy),1-2 days,
19,Male,0.6,73,2.73,2.76,2.3,5.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
19,Male,0.5,41,2.63,2.68,0.7,4.4,Average (Mix of healthy and unhealthy),1-2 days,LES
19,Male,10.0,70,3.14,3.09,2.2,3.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",0 days,IEEE
20,Male,10.0,62,3.74,3.63,1.5,6.6,Very Poor (Highly reliant on junk food and caffeine),5-6 days,"IEEE, ACM"
19,Male,4.4,100,3.34,3.42,4.3,6.0,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,
19,Male,5.2,74,3.26,3.28,1.3,7.5,Average (Mix of healthy and unhealthy),1-2 days,
22,Male,1.4,100,2.66,2.72,0.5,5.8,"Poor (Mostly processed foods, soft drinks, limited vegetables)",0 days,
20,Male,1.5,57,2.45,2.47,3.6,5.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",0 days,ACM
19,Male,1.4,34,2.68,2.65,0.5,7.3,Average (Mix of healthy and unhealthy),1-2 days,AIAA
21,Female,1.2,78,2.49,2.47,11.3,5.8,"Excellent (Well-balanced, fresh food)",0 days,AIAA
20,Male,5.3,72,3.38,3.39,1.4,7.5,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,LES
19,Male,1.8,60,2.88,2.86,0.5,6.0,"Excellent (Well-balanced, fresh food)",5-6 days,
21,Male,1.0,84,2.55,2.71,8.0,4.4,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,
20,Male,5.7,86,3.24,3.32,1.6,7.4,Average (Mix of healthy and unhealthy),3-4 days,
21,Prefer not to say,1.4,32,2.83,2.89,7.1,4.6,Average (Mix of healthy and unhealthy),3-4 days,
19,Male,3.2,100,3.18,3.19,7.0,8.7,Average (Mix of healthy and unhealthy),0 days,IEEE
20,Female,2.6,86,2.98,3.05,5.8,7.2,Average (Mix of healthy and unhealthy),3-4 days,
20,Male,3.9,24,2.75,2.81,1.9,6.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
21,Male,0.5,68,2.82,2.86,3.4,5.4,Average (Mix of healthy and unhealthy),3-4 days,ACM
19,Female,0.5,56,2.57,2.5,6.2,6.8,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,
19,Male,4.3,97,2.9,2.88,2.8,5.9,"Poor (Mostly processed foods, soft drinks, limited vegetables)",3-4 days,
20,Male,5.5,87,3.22,3.25,0.5,6.6,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,"IEEE, ACM"
20,Male,7.7,67,2.99,3.06,6.5,9.5,Very Poor (Highly reliant on junk food and caffeine),1-2 days,ACM
21,Male,4.6,59,3.49,3.46,1.5,6.5,"Good (Mostly balanced, some fast food/unhealthy snacks)",5-6 days,
21,Male,6.4,74,3.25,3.22,1.2,8.2,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,"IEEE, ACM"
21,Male,3.6,54,3.23,3.17,2.3,7.9,Average (Mix of healthy and unhealthy),3-4 days,"IEEE, ACM"
20,Female,4.9,50,2.85,2.91,0.6,6.0,Average (Mix of healthy and unhealthy),3-4 days,"IEEE, ACM"
21,Male,0.5,64,2.14,2.16,8.3,8.4,Average (Mix of healthy and unhealthy),1-2 days,ACM
20,Male,4.1,89,3.1,3.21,3.0,7.2,"Poor (Mostly processed foods, soft drinks, limited vegetables)",1-2 days,
18,Male,0.6,62,2.71,2.77,1.4,8.7,Average (Mix of healthy and unhealthy),0 days,
22,Male,0.5,43,2.76,2.75,6.1,5.5,Average (Mix of healthy and unhealthy),3-4 days,
18,Female,6.8,92,3.4,3.47,2.2,7.4,Average (Mix of healthy and unhealthy),3-4 days,ACM
22,Prefer not to say,6.3,33,2.82,2.8,7.3,6.7,Very Poor (Highly reliant on junk food and caffeine),1-2 days,
20,Male,0.9,50,2.99,2.98,0.6,6.6,"Good (Mostly balanced, some fast food/unhealthy snacks)",3-4 days,
21,Male,0.5,77,2.47,2.35,4.3,4.5,Average (Mix of healthy and unhealthy),3-4 days,
19,Prefer not to say,0.5,45,2.56,2.54,3.8,7.0,"Poor (Mostly processed foods, soft drinks, limited vegetables)",0 days,
21,Male,10.0,77,3.78,3.71,5.7,9.7,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,"IEEE, ACM"
19,Male,0.5,71,2.63,2.57,1.9,7.7,"Poor (Mostly processed foods, soft drinks, limited vegetables)",5-6 days,"IEEE, ACM"
20,Male,0.5,15,2.51,2.42,2.8,8.3,Average (Mix of healthy and unhealthy),1-2 days,LES
18,Male,1.8,66,2.81,2.75,0.5,7.2,Average (Mix of healthy and unhealthy),3-4 days,
22,Male,3.2,72,3.26,3.17,0.6,4.6,"Good (Mostly balanced, some fast food/unhealthy snacks)",1-2 days,AIAA
20,Male,1.6,55,2.67,2.69,3.7,7.1,"Excellent (Well-balanced, fresh food)",7 days,ACM
